City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,3.24,76,72,11.72,TF,1731436775
1,bethel,41.3712,-73.414,10.41,51,40,7.72,US,1731436776
2,port alfred,-33.5906,26.891,18.43,84,0,3.13,ZA,1731436777
3,albany,42.6001,-73.9662,7.91,53,4,2.68,US,1731436778
4,margaret river,-33.95,115.0667,11.01,93,48,4.16,AU,1731436733
5,berdigestyakh,62.0989,126.6992,-24.05,100,81,1.59,RU,1731436781
6,college,64.8569,-147.8028,-16.17,80,100,0.0,US,1731436782
7,taoudenni,22.6783,-3.9836,27.62,16,0,3.18,ML,1731436783
8,waitangi,-43.9535,-176.5597,9.9,92,5,1.34,NZ,1731436784
9,adamstown,-25.066,-130.1015,21.64,72,100,3.91,PN,1731436785
10,ushuaia,-54.8,-68.3,13.81,54,75,6.17,AR,1731436786
11,bilibino,68.0546,166.4372,-25.51,99,19,2.08,RU,1731436787
12,enewetak,11.3474,162.3373,28.29,77,52,5.59,MH,1731436788
13,kingscliff,-28.2667,153.5667,18.89,100,80,0.51,AU,1731436790
14,wailua homesteads,22.0669,-159.378,25.44,85,20,7.2,US,1731436791
15,iqaluit,63.7506,-68.5145,-13.15,71,20,2.57,CA,1731436792
16,sai buri,6.7013,101.6168,26.09,87,100,0.69,TH,1731436793
17,sernur,56.9333,49.1536,-2.23,92,92,5.27,RU,1731436794
18,walvis bay,-22.9575,14.5053,15.53,82,26,4.63,NA,1731436795
19,pacific grove,36.6177,-121.9166,15.79,90,0,2.06,US,1731436796
20,bredasdorp,-34.5322,20.0403,15.42,78,0,2.3,ZA,1731436797
21,nar'yan-mar,67.6713,53.087,-7.58,95,100,5.94,RU,1731436691
22,okhotsk,59.3833,143.3,-15.52,71,41,7.81,RU,1731436799
23,crane,31.3974,-102.3501,26.0,45,100,9.35,US,1731436801
24,torghay,49.6339,63.4981,-3.7,68,69,2.95,KZ,1731436802
25,udachny,66.4167,112.4,-14.85,97,100,1.96,RU,1731436803
26,sitka,57.0531,-135.33,5.94,87,100,0.0,US,1731436596
27,plettenberg bay,-34.0527,23.3716,16.46,88,25,4.36,ZA,1731436805
28,baharly,38.4362,57.4316,12.01,77,100,2.36,TM,1731436806
29,mugia,43.1041,-9.2179,13.28,70,100,10.8,ES,1731436807
30,pisco,-13.7,-76.2167,21.12,73,87,4.63,PE,1731436808
31,usevia,-7.1,31.2333,23.07,70,28,1.92,TZ,1731436809
32,dunedin,-45.8742,170.5036,11.56,86,8,3.13,NZ,1731436612
33,galliano,29.4422,-90.2992,22.0,94,100,5.66,US,1731436812
34,georgetown,5.4112,100.3354,27.97,82,40,1.54,MY,1731436813
35,uturoa,-16.7333,-151.4333,25.79,75,100,7.96,PF,1731436814
36,edinburgh of the seven seas,-37.0676,-12.3116,16.14,95,100,4.81,SH,1731436816
37,murzuq,25.9155,13.9184,19.82,22,92,2.76,LY,1731436817
38,colonia,50.9333,6.95,9.42,85,100,2.06,DE,1731436818
39,grytviken,-54.2811,-36.5092,-0.81,76,100,6.56,GS,1731436819
40,dudinka,69.4058,86.1778,-26.36,94,93,4.91,RU,1731436820
41,puerto ayora,-0.7393,-90.3518,24.19,78,100,3.58,EC,1731436822
42,ust-nera,64.5667,143.2,-30.8,98,99,0.53,RU,1731436823
43,calvinia,-31.4707,19.776,18.14,37,4,2.57,ZA,1731436824
44,manggar,-2.8833,108.2667,25.8,81,62,0.95,ID,1731436825
45,isafjordur,66.0755,-23.124,3.5,82,72,18.72,IS,1731436826
46,kruisfontein,-34.0033,24.7314,15.98,93,33,9.21,ZA,1731436827
47,jingdezhen,29.2947,117.2079,16.19,89,8,1.77,CN,1731436828
48,hithadhoo,-0.6,73.0833,28.51,75,100,8.03,MV,1731436829
49,luanda,-8.8368,13.2343,27.0,78,40,6.69,AO,1731436830
50,yellowknife,62.456,-114.3525,-7.55,97,100,4.47,CA,1731436625
51,le port,-20.9373,55.2919,21.61,99,65,2.64,RE,1731436833
52,invercargill,-46.4,168.35,9.45,96,15,1.57,NZ,1731436834
53,usogorsk,63.4106,48.6872,0.58,98,100,3.02,RU,1731436835
54,fort-shevchenko,44.5086,50.263,4.74,67,83,4.81,KZ,1731436836
55,podporozh'ye,60.9112,34.1706,1.48,97,100,1.7,RU,1731436837
56,linxia chengguanzhen,35.6003,103.2064,6.05,68,100,1.22,CN,1731436838
57,avarua,-21.2078,-159.775,23.03,64,100,3.6,CK,1731436839
58,west island,-12.1568,96.8225,25.99,89,75,4.63,CC,1731436840
59,lebu,-37.6167,-73.65,14.2,71,47,9.13,CL,1731436841
